time;.header.seq;.header.stamp.secs;.header.stamp.nsecs;.header.frame_id;.pose.position.x;.pose.position.y;.pose.position.z;.pose.orientation.x;.pose.orientation.y;.pose.orientation.z;.pose.orientation.w
2024/05/03/13:24:45.163566;188025;1714767885;163246654;world;9.20E-07;1.55E-05;-1.93E-05;-2.61E-05;3.75E-05;-2.79E-07;-1
2024/05/03/13:24:45.183818;188026;1714767885;183303495;world;-9.35E-06;5.48E-06;-2.69E-05;-7.92E-06;-1.67E-05;-2.19E-06;-1
2024/05/03/13:24:45.193507;188027;1714767885;193234136;world;-3.42E-06;1.60E-05;-2.41E-05;-1.81E-05;2.41E-06;-1.55E-05;-1
2024/05/03/13:24:45.213322;188028;1714767885;212992396;world;-2.53E-06;2.50E-05;-2.23E-05;-1.39E-05;2.26E-05;-5.46E-05;-1
2024/05/03/13:24:45.223722;188029;1714767885;223178137;world;-9.69E-06;9.49E-06;-2.27E-05;-1.05E-06;6.39E-05;-7.91E-06;-1
2024/05/03/13:24:45.243708;188030;1714767885;243403523;world;-3.16E-06;1.45E-05;-3.11E-05;-4.54E-05;1.50E-05;-2.60E-05;-1
2024/05/03/13:24:45.253198;188031;1714767885;252901153;world;-2.06E-05;3.43E-06;-2.28E-05;2.94E-05;1.87E-05;-4.09E-06;-1
2024/05/03/13:24:45.284898;188032;1714767885;283188314;world;-1.26E-05;2.11E-05;-2.12E-05;3.12E-05;2.57E-05;-2.32E-05;-1
2024/05/03/13:24:45.284934;188033;1714767885;283269857;world;-6.91E-06;2.63E-05;-1.94E-06;8.19E-05;0.000154139;-8.32E-05;-1
2024/05/03/13:24:45.313497;188034;1714767885;313175159;world;-2.04E-05;7.74E-06;-2.71E-05;2.08E-05;4.50E-05;-1.74E-05;-1
2024/05/03/13:24:45.313524;188035;1714767885;313214984;world;2.47E-06;1.15E-05;-2.33E-05;-1.71E-05;5.72E-05;-2.98E-05;-1
2024/05/03/13:24:45.333468;188036;1714767885;333211321;world;1.34E-05;2.80E-05;8.56E-06;0.000109258;0.000153011;-8.61E-05;-1
2024/05/03/13:24:45.344120;188037;1714767885;343855332;world;1.14E-05;2.59E-05;-3.36E-05;-4.18E-05;2.12E-05;-2.70E-05;-1
2024/05/03/13:24:45.363281;188038;1714767885;363022420;world;-1.04E-05;1.13E-05;-3.54E-05;-1.01E-05;3.95E-05;-2.89E-05;-1
2024/05/03/13:24:45.383772;188039;1714767885;383230465;world;-6.27E-06;9.23E-06;-2.00E-05;2.84E-05;5.47E-05;-1.65E-05;-1
2024/05/03/13:24:45.393261;188040;1714767885;392926327;world;-1.47E-05;1.06E-05;-2.34E-05;-2.69E-06;2.29E-05;-2.19E-06;-1
2024/05/03/13:24:45.423577;188041;1714767885;423280347;world;-1.75E-05;1.38E-05;-2.57E-05;1.52E-05;3.48E-05;-2.22E-05;-1
2024/05/03/13:24:45.433397;188042;1714767885;433134456;world;-1.21E-05;2.18E-05;-2.23E-05;-2.29E-05;-6.98E-06;-9.81E-06;-1
2024/05/03/13:24:45.443139;188043;1714767885;442877564;world;-2.19E-05;1.61E-05;-1.45E-05;-2.60E-07;6.44E-06;-3.46E-05;-1
2024/05/03/13:24:45.453532;188044;1714767885;453223286;world;-1.97E-05;1.43E-05;-2.42E-05;-1.40E-06;-2.08E-05;6.40E-06;-1
2024/05/03/13:24:45.473309;188045;1714767885;473010609;world;-3.73E-05;1.67E-05;-1.76E-05;5.89E-05;3.12E-05;-6.95E-06;-1
2024/05/03/13:24:45.493598;188046;1714767885;493319523;world;-3.36E-05;1.50E-05;-2.33E-05;8.44E-05;3.65E-05;-2.41E-05;-1
2024/05/03/13:24:45.523500;188047;1714767885;523188337;world;-1.31E-05;1.63E-05;-2.59E-05;3.97E-05;-5.70E-06;-4.09E-06;-1
2024/05/03/13:24:45.523532;188048;1714767885;523225927;world;-1.53E-05;1.41E-05;-2.19E-05;4.36E-06;1.92E-06;-3.17E-05;-1
2024/05/03/13:24:45.533365;188049;1714767885;533071705;world;-3.92E-05;1.91E-05;8.83E-06;0.000162671;0.000153171;-3.94E-05;-1
2024/05/03/13:24:45.553438;188050;1714767885;553059859;world;-9.67E-06;1.79E-05;-3.55E-05;-2.83E-05;-6.40E-06;-1.94E-05;-1
2024/05/03/13:24:45.563527;188051;1714767885;563211204;world;-1.88E-05;2.06E-05;-2.23E-05;-9.71E-06;1.44E-05;-2.41E-05;-1
2024/05/03/13:24:45.593595;188052;1714767885;593281553;world;-1.87E-05;1.42E-05;-1.94E-05;6.00E-06;-1.44E-05;-2.19E-06;-1
2024/05/03/13:24:45.603847;188053;1714767885;603357750;world;-1.68E-05;1.13E-05;-1.65E-05;9.17E-06;3.17E-05;-1.84E-05;-1
2024/05/03/13:24:45.623297;188054;1714767885;623009980;world;-2.20E-05;1.87E-05;-1.90E-05;1.91E-05;3.53E-05;-2.22E-05;-1
2024/05/03/13:24:45.633420;188055;1714767885;633169049;world;-2.78E-05;1.16E-05;-2.45E-05;-2.86E-06;-6.45E-06;-4.51E-05;-1
2024/05/03/13:24:45.643426;188056;1714767885;643176578;world;-3.09E-06;2.74E-05;-1.88E-05;-7.05E-05;1.23E-05;-5.27E-05;-1
2024/05/03/13:24:45.663325;188057;1714767885;662972397;world;-1.96E-05;1.53E-05;-1.33E-05;-2.04E-05;7.44E-07;-1.46E-05;-1
2024/05/03/13:24:45.683260;188058;1714767885;682960192;world;-3.64E-05;6.72E-06;-1.56E-05;1.71E-05;4.99E-05;-1.55E-05;-1
2024/05/03/13:24:45.693584;188059;1714767885;693296592;world;-1.97E-05;1.40E-05;-1.56E-05;2.17E-05;-4.84E-06;-7.91E-06;-1
2024/05/03/13:24:45.723232;188060;1714767885;722918006;world;-2.47E-05;1.24E-05;-1.71E-05;-2.99E-05;-1.95E-05;-4.09E-06;-1
2024/05/03/13:24:45.723266;188061;1714767885;722955005;world;-8.87E-06;2.15E-05;-1.12E-05;-6.65E-05;-1.56E-05;-4.41E-05;-1
2024/05/03/13:24:45.743610;188062;1714767885;743317368;world;-1.22E-05;2.42E-05;-6.65E-06;-4.98E-05;2.44E-05;-2.79E-05;-1
2024/05/03/13:24:45.763460;188063;1714767885;763202908;world;-4.85E-05;4.18E-06;-1.46E-05;4.03E-05;1.63E-05;-6.00E-06;-1
2024/05/03/13:24:45.773819;188064;1714767885;773434493;world;-4.23E-05;3.44E-06;-1.63E-05;-1.56E-05;2.24E-05;-3.14E-06;-1
2024/05/03/13:24:45.793851;188065;1714767885;793582896;world;-2.30E-05;1.42E-05;-8.12E-06;-7.65E-06;1.35E-05;-4.13E-05;-1
2024/05/03/13:24:45.803582;188066;1714767885;803273938;world;-3.08E-05;4.89E-06;-1.62E-05;9.45E-06;5.02E-06;-2.70E-05;-1
2024/05/03/13:24:45.824599;188067;1714767885;824170835;world;-2.43E-05;4.69E-06;-1.34E-05;2.05E-05;6.26E-06;-1.27E-05;-1
2024/05/03/13:24:45.833341;188068;1714767885;833073227;world;-1.22E-05;5.80E-06;-1.69E-05;9.86E-06;1.72E-05;3.54E-06;-1
2024/05/03/13:24:45.853256;188069;1714767885;852960821;world;2.11E-05;1.69E-05;-1.48E-05;2.51E-05;-1.63E-05;-4.13E-05;-1
2024/05/03/13:24:45.863250;188070;1714767885;863068745;world;-7.30E-07;1.21E-05;-3.27E-05;-5.64E-05;3.16E-05;-7.94E-05;-1
2024/05/03/13:24:45.883900;188071;1714767885;883346039;world;-1.56E-05;2.49E-06;-1.29E-05;5.17E-05;3.85E-05;6.78E-07;-1
2024/05/03/13:24:45.903645;188072;1714767885;903367964;world;-1.16E-05;2.43E-05;1.77E-05;0.00012746;0.000133932;-8.70E-05;-1
2024/05/03/13:24:45.933398;188073;1714767885;933011331;world;-4.77E-06;1.01E-05;-1.04E-05;2.59E-06;3.30E-05;-2.78E-07;-1
2024/05/03/13:24:45.933436;188074;1714767885;933052698;world;-2.48E-05;5.54E-06;-2.21E-05;1.94E-05;2.74E-08;1.02E-05;-1
2024/05/03/13:24:45.943128;188075;1714767885;942887899;world;-3.24E-07;2.87E-05;1.70E-05;0.000119067;0.000109911;-8.51E-05;-1
2024/05/03/13:24:45.964271;188076;1714767885;963523526;world;-2.31E-05;1.40E-06;-8.11E-06;1.30E-05;7.38E-05;-2.13E-05;-1
2024/05/03/13:24:45.973151;188077;1714767885;972864774;world;4.99E-07;1.05E-05;-1.93E-05;-1.40E-05;-2.81E-06;-3.08E-05;-1
2024/05/03/13:24:46.003656;188078;1714767886;3324938;world;-8.07E-06;8.33E-06;-1.94E-05;-4.99E-06;-4.40E-07;-1.84E-05;-1
2024/05/03/13:24:46.003680;188079;1714767886;3362458;world;-1.18E-05;1.93E-05;-1.98E-05;-2.13E-05;-1.54E-05;-2.60E-05;-1
2024/05/03/13:24:46.023138;188080;1714767886;22892025;world;-8.38E-06;9.00E-06;-1.26E-05;5.73E-06;8.61E-07;-1.65E-05;-1
2024/05/03/13:24:46.033091;188081;1714767886;32840010;world;-2.33E-05;9.26E-06;-1.67E-05;2.24E-05;1.50E-05;-2.60E-05;-1
2024/05/03/13:24:46.053284;188082;1714767886;53010593;world;-1.86E-05;1.53E-05;-3.14E-05;-3.67E-08;2.18E-06;-3.17E-05;-1
2024/05/03/13:24:46.073542;188083;1714767886;73238291;world;-8.82E-06;1.37E-05;-2.42E-05;-1.45E-05;-8.54E-06;-5.75E-05;-1
2024/05/03/13:24:46.083580;188084;1714767886;83249836;world;-1.23E-05;1.43E-05;-1.03E-05;2.24E-05;3.85E-05;-2.60E-05;-1
2024/05/03/13:24:46.103228;188085;1714767886;102972912;world;-1.29E-05;2.34E-05;-6.47E-06;1.91E-05;4.05E-05;-2.77E-07;-1
2024/05/03/13:24:46.123283;188086;1714767886;123043719;world;-2.35E-05;1.12E-05;-2.16E-05;6.89E-07;2.19E-05;-1.74E-05;-1
2024/05/03/13:24:46.133862;188087;1714767886;133351306;world;-1.99E-05;1.03E-05;-2.00E-05;-1.11E-05;-1.80E-05;-1.08E-05;-1
2024/05/03/13:24:46.153327;188088;1714767886;153019518;world;-1.73E-05;1.64E-05;-1.50E-05;2.67E-05;2.77E-05;1.21E-05;-1
2024/05/03/13:24:46.164536;188089;1714767886;164070051;world;-1.83E-05;1.03E-06;-2.84E-05;4.63E-05;7.80E-06;-1.23E-06;-1
2024/05/03/13:24:46.173294;188090;1714767886;173041854;world;-5.77E-06;3.48E-05;9.07E-06;9.67E-05;0.000148068;-8.23E-05;-1
2024/05/03/13:24:46.193553;188091;1714767886;193233597;world;-2.24E-05;1.28E-05;-2.45E-05;7.47E-05;-2.19E-05;3.69E-05;-1
2024/05/03/13:24:46.213443;188092;1714767886;213159763;world;-1.30E-05;7.37E-06;-1.93E-05;1.50E-05;-1.53E-06;-7.91E-06;-1
2024/05/03/13:24:46.233948;188093;1714767886;233683721;world;-9.71E-06;1.25E-05;-2.35E-05;-3.55E-05;6.34E-06;-2.32E-05;-1
2024/05/03/13:24:46.243294;188094;1714767886;242973509;world;-1.59E-05;1.26E-05;-1.32E-05;-1.61E-05;3.39E-05;-7.91E-06;-1
2024/05/03/13:24:46.253098;188095;1714767886;252834720;world;-9.41E-06;7.70E-06;-2.73E-05;1.85E-05;-4.04E-05;3.41E-05;-1
2024/05/03/13:24:46.273366;188096;1714767886;273069246;world;-2.10E-05;1.39E-05;-1.61E-05;-2.07E-05;8.39E-06;-1.17E-05;-1
2024/05/03/13:24:46.283653;188097;1714767886;283326789;world;-1.79E-05;1.95E-05;-1.70E-05;-2.43E-05;1.95E-06;-2.89E-05;-1
2024/05/03/13:24:46.313167;188098;1714767886;312899633;world;-8.94E-06;2.12E-05;-1.42E-05;-1.35E-05;-7.62E-06;-3.17E-05;-1
2024/05/03/13:24:46.353740;188099;1714767886;353354173;world;-8.00E-06;1.76E-05;-1.95E-05;-6.08E-05;-1.28E-05;-5.46E-05;-1
2024/05/03/13:24:46.353764;188101;1714767886;353404407;world;-9.36E-06;1.90E-05;-1.82E-05;-1.37E-05;-1.75E-05;-1.84E-05;-1
2024/05/03/13:24:46.363186;188102;1714767886;362903531;world;-1.72E-05;1.23E-05;-1.65E-05;8.59E-06;4.03E-06;-1.27E-05;-1
2024/05/03/13:24:46.383537;188103;1714767886;383284038;world;-2.22E-05;9.13E-06;-2.30E-05;-1.66E-05;-9.87E-06;-3.08E-05;-1
2024/05/03/13:24:46.393569;188104;1714767886;393238807;world;-1.76E-05;9.17E-06;-1.95E-05;-1.66E-05;4.73E-05;-5.56E-05;-1
2024/05/03/13:24:46.413358;188105;1714767886;413078129;world;-5.33E-07;1.16E-05;-1.56E-05;-6.21E-06;-5.60E-07;-2.60E-05;-1
2024/05/03/13:24:46.444053;188106;1714767886;443368939;world;-4.79E-06;1.22E-05;-1.54E-05;-4.04E-06;2.15E-05;-3.46E-05;-1
2024/05/03/13:24:46.444078;188107;1714767886;443404696;world;-1.22E-05;1.84E-05;-2.36E-05;-3.96E-05;-1.75E-06;-1.94E-05;-1
2024/05/03/13:24:46.463639;188108;1714767886;462870108;world;-9.60E-06;2.02E-06;-3.26E-05;5.04E-05;-5.84E-05;-8.86E-06;-1
2024/05/03/13:24:46.473774;188109;1714767886;473243920;world;-3.55E-06;1.03E-05;-2.68E-05;-3.86E-05;2.34E-05;-3.65E-05;-1
2024/05/03/13:24:46.493263;188110;1714767886;492990760;world;-1.87E-05;1.17E-05;-2.00E-05;2.18E-05;1.02E-05;-2.79E-05;-1
2024/05/03/13:24:46.513722;188111;1714767886;513394798;world;-1.41E-05;1.75E-05;-1.54E-05;8.79E-06;8.93E-06;-2.22E-05;-1
2024/05/03/13:24:46.523607;188112;1714767886;523320084;world;-1.54E-05;1.62E-05;-2.22E-05;-9.78E-06;1.81E-05;-6.00E-06;-1
2024/05/03/13:24:46.533266;188113;1714767886;532914985;world;-4.99E-06;4.36E-06;-2.78E-05;6.68E-05;-1.23E-05;1.12E-05;-1
2024/05/03/13:24:46.553423;188114;1714767886;552877301;world;-1.60E-05;1.99E-05;-1.89E-05;1.88E-05;2.74E-05;-4.03E-05;-1
2024/05/03/13:24:46.573716;188115;1714767886;573326606;world;-2.52E-05;7.84E-06;-1.80E-05;2.05E-05;2.55E-05;-3.56E-05;-1
2024/05/03/13:24:46.583585;188116;1714767886;583281433;world;-1.62E-05;7.53E-06;-2.56E-05;-1.93E-05;1.10E-05;-2.70E-05;-1
2024/05/03/13:24:46.603415;188117;1714767886;603133991;world;-4.91E-06;1.74E-05;-2.06E-05;-1.38E-05;3.60E-05;-3.17E-05;-1
2024/05/03/13:24:46.613277;188118;1714767886;612979331;world;-1.34E-06;2.34E-05;-1.82E-05;-8.39E-05;1.59E-05;-5.46E-05;-1
2024/05/03/13:24:46.654116;188119;1714767886;653394318;world;4.25E-07;1.67E-05;-1.63E-05;-3.80E-05;2.31E-06;-4.13E-05;-1
2024/05/03/13:24:46.654139;188120;1714767886;653433561;world;-2.04E-05;7.66E-06;-2.28E-05;3.64E-05;2.23E-05;-2.77E-07;-1
2024/05/03/13:24:46.663334;188121;1714767886;663155351;world;4.97E-06;7.46E-06;-1.91E-05;-7.51E-05;3.02E-05;-1.94E-05;-1
2024/05/03/13:24:46.673298;188122;1714767886;672945029;world;-1.73E-05;4.33E-06;-1.79E-05;-1.83E-05;1.19E-05;-3.14E-06;-1
2024/05/03/13:24:46.693565;188123;1714767886;693230086;world;-1.07E-05;1.66E-05;-2.24E-05;-4.25E-05;-8.79E-06;-5.65E-05;-1
2024/05/03/13:24:46.713456;188124;1714767886;713143389;world;-1.02E-05;9.35E-06;-2.40E-05;-7.22E-06;5.69E-06;-2.60E-05;-1
2024/05/03/13:24:46.723565;188125;1714767886;723309872;world;-9.87E-06;7.96E-06;-2.25E-05;4.18E-06;2.55E-05;-2.32E-05;-1
2024/05/03/13:24:46.763539;188126;1714767886;762995369;world;-8.84E-06;1.96E-05;-1.73E-05;-2.13E-05;1.59E-05;-3.65E-05;-1
2024/05/03/13:24:46.763563;188127;1714767886;763032067;world;-9.49E-06;5.72E-06;-2.77E-05;1.95E-05;9.82E-06;-1.84E-05;-1
2024/05/03/13:24:46.773432;188128;1714767886;773165481;world;-1.68E-05;1.38E-05;-2.77E-05;5.92E-05;2.03E-05;-2.70E-05;-1
2024/05/03/13:24:46.783203;188129;1714767886;782983802;world;8.22E-06;2.15E-05;-2.30E-05;-3.06E-05;-7.26E-06;-6.04E-05;-1
2024/05/03/13:24:46.803603;188130;1714767886;803258671;world;-1.41E-06;2.15E-05;-1.87E-05;-2.18E-05;3.41E-05;-4.61E-05;-1
2024/05/03/13:24:46.823446;188131;1714767886;822968791;world;-1.53E-05;9.54E-07;-1.42E-05;-1.05E-05;4.70E-05;-3.46E-05;-1
2024/05/03/13:24:46.853637;188132;1714767886;853275943;world;-2.20E-05;1.63E-05;-2.52E-05;2.79E-06;1.28E-05;-1.84E-05;-1
