time;.header.seq;.header.stamp.secs;.header.stamp.nsecs;.header.frame_id;.name;.position;.velocity;.effort
2024/05/03/13:28:08.592190;222437;1714768088;628111157;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.7838642001152039, 2746.081787109375, -0.7884661555290222, 2984.519287109375, -0.7853981852531433, 2744.498779296875, 0.7838642001152039, 2988.886474609375);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(16.139999389648438, -147.9499969482422, 16.139999389648438, 5.380000114440918, -5.380000114440918, -2.690000057220459, 10.760000228881836, 0.0)
2024/05/03/13:28:08.608386;222438;1714768088;644178898;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.7838642001152039, 2746.081787109375, -0.7884661555290222, 2984.519287109375, -0.7853981852531433, 2744.498779296875, 0.7838642001152039, 2988.886474609375);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(18.829999923706055, -147.9499969482422, 13.450000762939453, 5.380000114440918, -5.380000114440918, -2.690000057220459, 10.760000228881836, 0.0)
2024/05/03/13:28:08.623989;222439;1714768088;660275712;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.7838642001152039, 2746.081787109375, -0.7884661555290222, 2984.519287109375, -0.7853981852531433, 2744.498779296875, 0.7838642001152039, 2988.886474609375);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(18.829999923706055, -147.9499969482422, 13.450000762939453, 5.380000114440918, -5.380000114440918, -2.690000057220459, 8.069999694824219, 0.0)
2024/05/03/13:28:08.642414;222440;1714768088;676176045;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.7823302149772644, 2746.081787109375, -0.7884661555290222, 2984.519287109375, -0.7853981852531433, 2744.498779296875, 0.7838642001152039, 2988.886474609375);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(18.829999923706055, -147.9499969482422, 16.139999389648438, 5.380000114440918, -5.380000114440918, -2.690000057220459, 10.760000228881836, 0.0)
2024/05/03/13:28:08.656334;222441;1714768088;692127878;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.7838642001152039, 2746.081787109375, -0.7884661555290222, 2984.519287109375, -0.7853981852531433, 2744.498779296875, 0.7838642001152039, 2988.886474609375);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(18.829999923706055, -147.9499969482422, 13.450000762939453, 5.380000114440918, -5.380000114440918, -2.690000057220459, 10.760000228881836, 0.0)
2024/05/03/13:28:08.677432;222442;1714768088;708158748;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.7838642001152039, 2746.081787109375, -0.7884661555290222, 2984.519287109375, -0.7853981852531433, 2744.498779296875, 0.7838642001152039, 2988.886474609375);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(18.829999923706055, -147.9499969482422, 13.450000762939453, 5.380000114440918, -5.380000114440918, -2.690000057220459, 10.760000228881836, 0.0)
2024/05/03/13:28:08.689431;222443;1714768088;724106878;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.7838642001152039, 2746.081787109375, -0.7884661555290222, 2984.519287109375, -0.7853981852531433, 2744.498779296875, 0.7838642001152039, 2988.886474609375);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(18.829999923706055, -147.9499969482422, 13.450000762939453, 5.380000114440918, -5.380000114440918, -2.690000057220459, 10.760000228881836, 0.0)
2024/05/03/13:28:08.705341;222444;1714768088;740111988;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.7838642001152039, 2746.081787109375, -0.7869321703910828, 2984.519287109375, -0.7853981852531433, 2744.498779296875, 0.7838642001152039, 2988.886474609375);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(18.829999923706055, -147.9499969482422, 13.450000762939453, 5.380000114440918, -5.380000114440918, -2.690000057220459, 10.760000228881836, 0.0)
2024/05/03/13:28:08.720529;222445;1714768088;756125303;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.7838642001152039, 2746.081787109375, -0.7884661555290222, 2984.519287109375, -0.7853981852531433, 2744.498779296875, 0.7838642001152039, 2988.886474609375);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(18.829999923706055, -147.9499969482422, 13.450000762939453, 5.380000114440918, -5.380000114440918, -2.690000057220459, 10.760000228881836, 0.0)
2024/05/03/13:28:08.736874;222446;1714768088;772206932;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.7838642001152039, 2746.081787109375, -0.7869321703910828, 2984.519287109375, -0.7853981852531433, 2744.498779296875, 0.7838642001152039, 2988.886474609375);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(18.829999923706055, -147.9499969482422, 16.139999389648438, 5.380000114440918, -5.380000114440918, -2.690000057220459, 10.760000228881836, 0.0)
